source,source_family,protocol,seed_start,representation,representation_family,evaluation_mode,subset,systems,n_samples,n_true_classes,kmeans_ari,kmeans_nmi,hdbscan_ari_all,hdbscan_ari_core,hdbscan_clusters,hdbscan_noise,knn3_accuracy,knn3_accuracy_std,notes
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.4836773661258005,0.579549371866509,0.5347749853886616,0.5498250243818484,2,4,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.2222162964543168,0.1799745695108566,0.03090144450539404,nan,1,4,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,matched effective exponent geometry,effective_exponent,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,0.09503606279168435,0.08708299585978141,0.0012673869649250658,nan,1,2,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,single-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.6049586776859505,0.7864379259835008,0.5662431941923775,0.5662431941923775,6,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,single-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.49958088851634536,0.6712694853274367,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,single-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.49958088851634536,0.6712694853274367,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,single-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.24644549763033174,0.3437110184854493,0.3291139240506329,0.3291139240506329,4,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,single-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,1.0,1.0,1.0,1.0,2,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,raw multi-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.6049586776859505,0.7864379259835008,0.5662431941923775,0.5662431941923775,6,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,raw multi-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.49958088851634536,0.6712694853274367,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,raw multi-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.49958088851634536,0.6712694853274367,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,raw multi-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.24644549763033174,0.3437110184854493,0.3291139240506329,0.3291139240506329,4,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,raw multi-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,1.0,1.0,1.0,1.0,2,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,cross-L engineered features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.4957805907172996,0.7438478550696794,0.5299694326263077,0.5383872730262634,6,11,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,cross-L engineered features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.3464696223316913,0.598105502370886,0.43718275819452646,0.43796711509715996,5,11,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,cross-L engineered features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.3464696223316913,0.598105502370886,0.44276066545873827,0.44195804195804195,5,10,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,cross-L engineered features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,-0.0707070707070707,0.1510656397890323,0.29444009397024273,0.2713936430317848,4,10,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,cross-L engineered features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,0.0,0.0,0.8096385542168675,1.0,2,10,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,PCA-whitened multi-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.4957805907172996,0.7438478550696794,0.5117516347828018,0.5082342713498955,6,23,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,exp70_sweep,equal,71000,PCA-whitened multi-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.3464696223316913,0.598105502370886,0.4161944432988273,0.3915047956819582,5,23,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
