protocol,seed_start,system,source,kmeans_ari,hdbscan_core_ari,ks_excluded_kmeans_ari,n,alpha_mean,beta_mean,z_mean,alpha_std,beta_std,z_std
equal,72000,bd,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,0.6150564896683484,0.8445592071226358,0.746593117803942,40,0.28771310830937563,0.2899461037399543,1.0658383508767395,0.051358024911937465,0.08884363665374892,0.36385488915895675
equal,72000,eden,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,0.6150564896683484,0.8445592071226358,0.746593117803942,40,0.1402326525534019,0.38374944098888364,0.392825443597437,0.08267487814169346,0.18377016318539754,0.22880720263025742
equal,72000,rd,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,0.6150564896683484,0.8445592071226358,0.746593117803942,40,0.019760794758774618,0.50866045787609,0.04721033470469731,0.027414893615014427,0.009318529038112328,0.042840674703339035
equal,72000,ks,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,0.6150564896683484,0.8445592071226358,0.746593117803942,40,5.882490608247777e-06,5.702617097212759,1.3103624958268606e-06,9.68516956454375e-06,0.06678246290199444,1.2623005263338752e-06
equal,73000,ew,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,0.46937836866189436,0.5572239679651813,0.4435638995227857,40,0.5311952107093386,0.25273450744046355,2.098150310011236,0.09017794816693772,0.01090467302609669,0.3242193268983677
equal,73000,kpz,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,0.46937836866189436,0.5572239679651813,0.4435638995227857,40,0.4849893672174111,0.3155701374604984,1.535905250937197,0.08405508205721968,0.008854801479559265,0.25600624104450564
equal,73000,bd,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,0.46937836866189436,0.5572239679651813,0.4435638995227857,40,0.35908315336637187,0.3086908927682067,1.2019572664933218,0.06294964461827146,0.05711281985557406,0.3082939035074475
equal,73000,eden,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,0.46937836866189436,0.5572239679651813,0.4435638995227857,40,0.18367875998904068,0.27047343535968793,0.737837524979766,0.08450307804235627,0.1464449283283798,0.35885061582985767
equal,73000,rd,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,0.46937836866189436,0.5572239679651813,0.4435638995227857,40,0.0672716833330996,0.482372436153865,0.14075956930119102,0.03712114149776738,0.00787943013448661,0.07687078814397609
equal,73000,ks,results_exp70_matched_codex_sweep_full_equal_seed73000\summary.json,0.46937836866189436,0.5572239679651813,0.4435638995227857,40,-1.8258685036674847e-05,5.800281128229947,1.8995989412728724e-07,1.5369452254438046e-05,0.0651835576745603,7.20149235573159e-07
exp69,69000,ew,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,0.9017097280215621,0.9595706075201181,0.8432344524866957,40,0.6288058133046888,0.23718234056008605,2.6611670656235114,0.0948884197401604,0.010939074097451339,0.45605103659775464
exp69,69000,kpz,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,0.9017097280215621,0.9595706075201181,0.8432344524866957,40,0.3213111428993125,0.29900236059317753,1.0647292856300745,0.13216662779985475,0.015882813495710038,0.41232113419848937
exp69,69000,bd,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,0.9017097280215621,0.9595706075201181,0.8432344524866957,40,0.37189234765521306,0.39516028716640406,1.0006582343634083,0.05599792299377994,0.09255628935097114,0.311418529761826
exp69,69000,eden,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,0.9017097280215621,0.9595706075201181,0.8432344524866957,40,0.24239890091366112,0.2453651769411162,0.9936798985963652,0.06307794324220929,0.027249650429865192,0.26743546469636326
exp69,69000,rd,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,0.9017097280215621,0.9595706075201181,0.8432344524866957,40,-0.026795172560890656,0.4913492651786232,0.003931255723947884,0.025131278826237547,0.007302413513589644,0.010941869534935303
exp69,69000,ks,results_exp70_matched_codex_sweep_full_exp69_seed69000\summary.json,0.9017097280215621,0.9595706075201181,0.8432344524866957,40,8.614241738260207e-06,5.708731670527113,1.7002918230578309e-06,1.0877192345042242e-05,0.08030177943427909,1.6583590740494744e-06
exp69,70000,ew,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,0.516910506767762,0.6702623502278477,0.3745388184994004,40,0.269220382717487,0.2319830600566874,1.1619481410748302,0.09810722126079205,0.019292676660231496,0.4191283574548536
exp69,70000,kpz,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,0.516910506767762,0.6702623502278477,0.3745388184994004,40,0.31928905086223275,0.3060351772879813,1.0460923362491485,0.08986460559970874,0.012946564023724802,0.2988964388432294
exp69,70000,bd,results_exp70_matched_codex_sweep_full_exp69_seed70000\summary.json,0.516910506767762,0.6702623502278477,0.3745388184994004,40,0.3105843925440455,0.3471402968852523,0.9313891324479421,0.04092054988485319,0.08467117018676847,0.18735572703257766
