dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,system_a,system_b,standardized_centroid_distance,same_universality_class
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,bd,ks,3.64433,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,eden,ew,1.49538,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,eden,kpz,0.963279,True
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,eden,ks,3.30866,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,ew,kpz,0.655679,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,ew,ks,4.43769,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,kpz,ks,3.9816,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,bd,eden,0.981081,True
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,bd,ew,1.89929,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,bd,kpz,0.736996,True
