dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,n_universality_classes,target_label_set,method,requested_n_clusters,status,n_clusters_found,n_noise,ari_universality_all,ari_system_all,nmi_universality_all,nmi_system_all,system_minus_universality_ari_all,ari_universality_core,ari_system_core,system_minus_universality_ari_core
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,universality,spectral_nearest,3,ok,3,0,0.860556,0.437733,0.833436,0.652388,-0.422823,0.860556,0.437733,-0.422823
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,universality,spectral_rbf,3,ok,3,0,0.87558,0.426504,0.841072,0.647609,-0.449076,0.87558,0.426504,-0.449076
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,microscopic_system,kmeans,5,ok,5,0,0.477545,0.483646,0.669544,0.618461,0.00610117,0.477545,0.483646,0.00610117
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,microscopic_system,gmm_full,5,ok,5,0,0.513478,0.638741,0.724686,0.707715,0.125263,0.513478,0.638741,0.125263
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,microscopic_system,gmm_diag,5,ok,5,0,0.488851,0.461149,0.664534,0.606044,-0.0277022,0.488851,0.461149,-0.0277022
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,microscopic_system,agglomerative_ward,5,ok,5,0,0.54408,0.490617,0.679589,0.658031,-0.0534626,0.54408,0.490617,-0.0534626
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,microscopic_system,agglomerative_average,5,ok,5,0,0.519943,0.490843,0.668867,0.647417,-0.0291007,0.519943,0.490843,-0.0291007
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,microscopic_system,agglomerative_complete,5,ok,5,0,0.54408,0.490617,0.679589,0.658031,-0.0534626,0.54408,0.490617,-0.0534626
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,microscopic_system,spectral_nearest,5,ok,5,0,0.465912,0.462262,0.659545,0.597794,-0.00365045,0.465912,0.462262,-0.00365045
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,microscopic_system,spectral_rbf,5,ok,5,0,0.54603,0.448974,0.692878,0.612636,-0.0970557,0.54603,0.448974,-0.0970557
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,variable_density,hdbscan,,ok,2,0,0.538283,0.207171,0.68989,0.474351,-0.331112,0.538283,0.207171,-0.331112
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,universality,kmeans,2,ok,2,0,0.800206,0.293356,0.695048,0.457901,-0.506849,0.800206,0.293356,-0.506849
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,universality,gmm_full,2,ok,2,0,0.823539,0.294769,0.719463,0.463765,-0.52877,0.823539,0.294769,-0.52877
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,universality,gmm_diag,2,ok,2,0,0.823539,0.294769,0.719463,0.463765,-0.52877,0.823539,0.294769,-0.52877
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,universality,agglomerative_ward,2,ok,2,0,0.608945,0.289428,0.530356,0.413489,-0.319516,0.608945,0.289428,-0.319516
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,universality,agglomerative_average,2,ok,2,0,-0.00826617,0,0.00601232,0.0122501,0.00826617,-0.00826617,0,0.00826617
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,universality,agglomerative_complete,2,ok,2,0,-0.0968504,0.0581192,0.106325,0.169356,0.15497,-0.0968504,0.0581192,0.15497
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,universality,spectral_nearest,2,ok,2,0,0.800206,0.293356,0.695048,0.457901,-0.506849,0.800206,0.293356,-0.506849
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,universality,spectral_rbf,2,ok,2,0,0.799072,0.277699,0.677362,0.438461,-0.521373,0.799072,0.277699,-0.521373
