source,protocol,seed_start,representation,representation_key,representation_family,subset,systems,n_samples,n_features,n_true_classes,kmeans_ari,kmeans_nmi,hdbscan_ari_all,hdbscan_ari_core,hdbscan_clusters,hdbscan_noise
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,cross-L engineered features,cross_L_engineered_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,0.975305,1,2,1
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,8,4,0.495781,0.743848,0.511752,0.508234,6,23
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,8,3,0.0197044,0.306337,0.424667,0.412129,5,20
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,8,3,0.255636,0.407988,0.473166,0.480096,5,1
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,8,2,0.246445,0.343711,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,PCA-whitened multi-L features,pca_whitened_multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,8,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,all_six,EW/KPZ/BD/Eden/RD/KS,240,3,4,0.534059,0.699259,0.659843,0.660715,3,1
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_ks,EW/KPZ/BD/Eden/RD,200,3,3,0.434711,0.574448,0.52978,0.53788,2,1
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd,EW/KPZ/BD/Eden/KS,200,3,3,0.483344,0.631499,0.538283,0.538283,2,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd_no_ks,EW/KPZ/BD/Eden,160,3,2,0.221955,0.290437,-0.10697,-0.0920656,2,11
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,ew_kpz_only,EW/KPZ only,80,3,2,0.29358,0.231802,0.153908,0.4354,5,32
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,single-L features,single_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,10,4,0.604959,0.786438,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,single-L features,single_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,10,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,single-L features,single_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,10,3,0.0197044,0.306337,0.428825,0.430767,6,4
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,single-L features,single_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,10,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,single-L features,single_L_features,feature,ew_kpz_only,EW/KPZ only,80,10,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,raw multi-L features,multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.604959,0.786438,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,raw multi-L features,multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed72000\matched_matrices.npz,equal,72000,raw multi-L features,multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.0197044,0.306337,0.47769,0.47769,5,0
